reading test data from : satellite_test_adj.txt
handling NNC with K:3
test_object =     0, predicted_class =   2, true_class =   2, nn =     5, distance =    1.28, accuracy = 1.00
test_object =   946, predicted_class =   2, true_class =   3, nn =  3771, distance =    1.01, accuracy = 0.00
test_object =   947, predicted_class =   3, true_class =   3, nn =  2784, distance =    1.11, accuracy = 1.00
test_object =   948, predicted_class =   6, true_class =   6, nn =  2116, distance =    1.33, accuracy = 1.00
test_object =   949, predicted_class =   6, true_class =   6, nn =  2303, distance =    0.86, accuracy = 1.00
test_object =   950, predicted_class =   6, true_class =   6, nn =  2118, distance =    0.83, accuracy = 1.00
test_object =   951, predicted_class =   6, true_class =   6, nn =  2118, distance =    0.71, accuracy = 1.00
test_object =   952, predicted_class =   6, true_class =   6, nn =  2119, distance =    0.82, accuracy = 1.00
test_object =   953, predicted_class =   6, true_class =   6, nn =  2073, distance =    0.93, accuracy = 1.00
test_object =   954, predicted_class =   6, true_class =   6, nn =  2123, distance =    0.92, accuracy = 1.00
test_object =   955, predicted_class =   6, true_class =   6, nn =  2123, distance =    1.01, accuracy = 1.00
test_object =   956, predicted_class =   6, true_class =   6, nn =  1310, distance =    0.84, accuracy = 1.00
test_object =   957, predicted_class =   6, true_class =   6, nn =  1980, distance =    0.83, accuracy = 1.00
test_object =   958, predicted_class =   6, true_class =   6, nn =  2132, distance =    0.54, accuracy = 1.00
test_object =   959, predicted_class =   6, true_class =   6, nn =  2122, distance =    0.71, accuracy = 1.00
test_object =   960, predicted_class =   6, true_class =   6, nn =  2138, distance =    1.17, accuracy = 1.00
test_object =   961, predicted_class =   0, true_class =   0, nn =  2142, distance =    0.96, accuracy = 1.00
test_object =   962, predicted_class =   3, true_class =   3, nn =  2095, distance =    1.59, accuracy = 1.00
test_object =   963, predicted_class =   6, true_class =   3, nn =  1320, distance =    1.33, accuracy = 0.00
test_object =   964, predicted_class =   6, true_class =   3, nn =   863, distance =    1.44, accuracy = 0.00
test_object =   965, predicted_class =   3, true_class =   6, nn =  2148, distance =    1.23, accuracy = 0.00
test_object =   966, predicted_class =   3, true_class =   3, nn =  1168, distance =    1.45, accuracy = 1.00
test_object =   967, predicted_class =   3, true_class =   3, nn =  4185, distance =    1.17, accuracy = 1.00
test_object =   968, predicted_class =   6, true_class =   6, nn =  2387, distance =    1.28, accuracy = 1.00
test_object =   969, predicted_class =   2, true_class =   3, nn =   167, distance =    0.74, accuracy = 0.00
test_object =   970, predicted_class =   3, true_class =   3, nn =   257, distance =    1.21, accuracy = 1.00
test_object =   971, predicted_class =   6, true_class =   6, nn =   239, distance =    1.51, accuracy = 1.00
test_object =   972, predicted_class =   6, true_class =   6, nn =  2172, distance =    0.82, accuracy = 1.00
test_object =   973, predicted_class =   6, true_class =   6, nn =  2118, distance =    0.90, accuracy = 1.00
test_object =   974, predicted_class =   6, true_class =   6, nn =  2177, distance =    0.88, accuracy = 1.00
test_object =   975, predicted_class =   6, true_class =   6, nn =  2177, distance =    0.89, accuracy = 1.00
test_object =   976, predicted_class =   6, true_class =   6, nn =  2177, distance =    0.96, accuracy = 1.00
test_object =   977, predicted_class =   6, true_class =   6, nn =  1942, distance =    0.87, accuracy = 1.00
test_object =   978, predicted_class =   6, true_class =   6, nn =  2230, distance =    1.36, accuracy = 1.00
test_object =   979, predicted_class =   6, true_class =   6, nn =  2280, distance =    0.84, accuracy = 1.00
test_object =   980, predicted_class =   0, true_class =   0, nn =  2760, distance =    1.74, accuracy = 1.00
test_object =   981, predicted_class =   0, true_class =   0, nn =  2865, distance =    1.87, accuracy = 1.00
test_object =   982, predicted_class =   0, true_class =   0, nn =  2235, distance =    1.29, accuracy = 1.00
test_object =   983, predicted_class =   0, true_class =   0, nn =  2187, distance =    1.20, accuracy = 1.00
test_object =   984, predicted_class =   6, true_class =   3, nn =   567, distance =    1.48, accuracy = 0.00
test_object =   985, predicted_class =   4, true_class =   6, nn =   682, distance =    1.35, accuracy = 0.00
test_object =   986, predicted_class =   6, true_class =   6, nn =  2485, distance =    1.25, accuracy = 1.00
test_object =   987, predicted_class =   6, true_class =   6, nn =  2299, distance =    1.81, accuracy = 1.00
test_object =   988, predicted_class =   3, true_class =   3, nn =  2625, distance =    0.91, accuracy = 1.00
test_object =   989, predicted_class =   6, true_class =   6, nn =  2396, distance =    1.06, accuracy = 1.00
test_object =   990, predicted_class =   6, true_class =   6, nn =  2080, distance =    0.93, accuracy = 1.00
test_object =   991, predicted_class =   6, true_class =   6, nn =  1073, distance =    2.49, accuracy = 1.00
test_object =   992, predicted_class =   2, true_class =   3, nn =  3955, distance =    0.86, accuracy = 0.00
test_object =   993, predicted_class =   6, true_class =   3, nn =  2640, distance =    1.04, accuracy = 0.00
test_object =   994, predicted_class =   3, true_class =   3, nn =  1107, distance =    1.34, accuracy = 1.00
test_object =   995, predicted_class =   6, true_class =   6, nn =  1927, distance =    1.02, accuracy = 1.00
test_object =   996, predicted_class =   6, true_class =   6, nn =  1927, distance =    0.89, accuracy = 1.00
test_object =   997, predicted_class =   6, true_class =   6, nn =  1247, distance =    1.12, accuracy = 1.00
test_object =   998, predicted_class =   6, true_class =   6, nn =  2222, distance =    0.84, accuracy = 1.00
test_object =   999, predicted_class =   4, true_class =   4, nn =  2228, distance =    1.13, accuracy = 1.00
test_object =  1000, predicted_class =   4, true_class =   4, nn =  2274, distance =    1.56, accuracy = 1.00
test_object =  1001, predicted_class =   4, true_class =   4, nn =  2228, distance =    1.92, accuracy = 1.00
test_object =  1002, predicted_class =   6, true_class =   6, nn =  2231, distance =    0.87, accuracy = 1.00
test_object =  1003, predicted_class =   0, true_class =   0, nn =  2281, distance =    2.12, accuracy = 1.00
test_object =  1004, predicted_class =   0, true_class =   0, nn =  2235, distance =    1.29, accuracy = 1.00
test_object =  1005, predicted_class =   0, true_class =   0, nn =  2238, distance =    1.27, accuracy = 1.00
test_object =  1006, predicted_class =   0, true_class =   0, nn =  3279, distance =    1.63, accuracy = 1.00
test_object =  1007, predicted_class =   0, true_class =   0, nn =  2917, distance =    1.40, accuracy = 1.00
test_object =  1008, predicted_class =   6, true_class =   6, nn =   920, distance =    1.63, accuracy = 1.00
test_object =  1009, predicted_class =   6, true_class =   6, nn =   920, distance =    1.86, accuracy = 1.00
test_object =  1010, predicted_class =   3, true_class =   3, nn =  2248, distance =    1.04, accuracy = 1.00
test_object =  1011, predicted_class =   6, true_class =   6, nn =  2304, distance =    0.86, accuracy = 1.00
test_object =  1012, predicted_class =   6, true_class =   3, nn =  1841, distance =    1.24, accuracy = 0.00
test_object =  1013, predicted_class =   3, true_class =   3, nn =  2309, distance =    1.19, accuracy = 1.00
test_object =  1014, predicted_class =   2, true_class =   3, nn =  1286, distance =    1.04, accuracy = 0.00
test_object =  1015, predicted_class =   3, true_class =   3, nn =  2307, distance =    0.99, accuracy = 1.00
test_object =  1016, predicted_class =   6, true_class =   6, nn =  2949, distance =    1.65, accuracy = 1.00
test_object =  1017, predicted_class =   3, true_class =   6, nn =  1793, distance =    1.41, accuracy = 0.00
test_object =  1018, predicted_class =   6, true_class =   6, nn =  2271, distance =    0.73, accuracy = 1.00
test_object =  1019, predicted_class =   4, true_class =   4, nn =  2228, distance =    1.22, accuracy = 1.00
test_object =  1020, predicted_class =   4, true_class =   4, nn =  2274, distance =    1.09, accuracy = 1.00
test_object =  1021, predicted_class =   6, true_class =   4, nn =  2331, distance =    2.10, accuracy = 0.00
test_object =  1022, predicted_class =   0, true_class =   0, nn =  2424, distance =    1.56, accuracy = 1.00
test_object =  1023, predicted_class =   0, true_class =   0, nn =  2141, distance =    1.28, accuracy = 1.00
test_object =  1024, predicted_class =   0, true_class =   0, nn =  2339, distance =    1.54, accuracy = 1.00
test_object =  1025, predicted_class =   6, true_class =   6, nn =  1086, distance =    1.89, accuracy = 1.00
test_object =  1026, predicted_class =   6, true_class =   6, nn =   805, distance =    0.83, accuracy = 1.00
test_object =  1027, predicted_class =   6, true_class =   3, nn =  1434, distance =    1.63, accuracy = 0.00
test_object =  1028, predicted_class =   3, true_class =   3, nn =  2247, distance =    1.11, accuracy = 1.00
test_object =  1029, predicted_class =   3, true_class =   3, nn =  2584, distance =    0.82, accuracy = 1.00
test_object =  1030, predicted_class =   6, true_class =   6, nn =  2184, distance =    0.84, accuracy = 1.00
test_object =  1031, predicted_class =   6, true_class =   6, nn =  2485, distance =    1.04, accuracy = 1.00
test_object =  1032, predicted_class =   6, true_class =   6, nn =  2255, distance =    1.38, accuracy = 1.00
test_object =  1033, predicted_class =   6, true_class =   3, nn =  2454, distance =    1.37, accuracy = 0.00
test_object =  1034, predicted_class =   3, true_class =   3, nn =  2208, distance =    0.92, accuracy = 1.00
test_object =  1035, predicted_class =   2, true_class =   3, nn =  3838, distance =    1.06, accuracy = 0.00
test_object =  1036, predicted_class =   3, true_class =   3, nn =  2165, distance =    1.03, accuracy = 1.00
test_object =  1037, predicted_class =   6, true_class =   3, nn =  2640, distance =    1.26, accuracy = 0.00
test_object =  1038, predicted_class =   2, true_class =   3, nn =  2556, distance =    1.38, accuracy = 0.00
test_object =  1039, predicted_class =   6, true_class =   6, nn =  3196, distance =    1.30, accuracy = 1.00
test_object =  1040, predicted_class =   4, true_class =   4, nn =  4060, distance =    1.03, accuracy = 1.00
test_object =  1041, predicted_class =   0, true_class =   0, nn =  2376, distance =    1.46, accuracy = 1.00
test_object =  1042, predicted_class =   0, true_class =   0, nn =  2378, distance =    1.19, accuracy = 1.00
test_object =  1043, predicted_class =   0, true_class =   0, nn =  2188, distance =    1.02, accuracy = 1.00
test_object =  1044, predicted_class =   0, true_class =   0, nn =  2382, distance =    0.85, accuracy = 1.00
test_object =  1045, predicted_class =   0, true_class =   0, nn =  2612, distance =    1.19, accuracy = 1.00
test_object =  1046, predicted_class =   0, true_class =   0, nn =  2479, distance =    1.47, accuracy = 1.00
test_object =  1047, predicted_class =   6, true_class =   6, nn =  2435, distance =    0.98, accuracy = 1.00
test_object =  1048, predicted_class =   6, true_class =   6, nn =  2578, distance =    1.00, accuracy = 1.00
test_object =  1049, predicted_class =   6, true_class =   6, nn =  2393, distance =    1.27, accuracy = 1.00
test_object =  1050, predicted_class =   6, true_class =   6, nn =  2171, distance =    0.93, accuracy = 1.00
test_object =  1051, predicted_class =   6, true_class =   6, nn =  2107, distance =    1.00, accuracy = 1.00
test_object =  1052, predicted_class =   6, true_class =   6, nn =  2401, distance =    1.33, accuracy = 1.00
test_object =  1053, predicted_class =   3, true_class =   6, nn =  2846, distance =    1.29, accuracy = 0.00
test_object =  1054, predicted_class =   6, true_class =   3, nn =  2746, distance =    1.37, accuracy = 0.00
test_object =  1055, predicted_class =   3, true_class =   3, nn =  2210, distance =    0.95, accuracy = 1.00
test_object =  1056, predicted_class =   2, true_class =   3, nn =  4376, distance =    1.41, accuracy = 0.00
test_object =  1057, predicted_class =   6, true_class =   6, nn =  1784, distance =    1.23, accuracy = 1.00
test_object =  1058, predicted_class =   6, true_class =   6, nn =  2414, distance =    1.16, accuracy = 1.00
test_object =  1059, predicted_class =   3, true_class =   6, nn =  1846, distance =    1.25, accuracy = 0.00
test_object =  1060, predicted_class =   6, true_class =   6, nn =  3041, distance =    1.22, accuracy = 1.00
test_object =  1061, predicted_class =   4, true_class =   4, nn =  2323, distance =    1.36, accuracy = 1.00
test_object =  1062, predicted_class =   4, true_class =   4, nn =  2370, distance =    1.38, accuracy = 1.00
test_object =  1063, predicted_class =   4, true_class =   4, nn =  2370, distance =    0.99, accuracy = 1.00
test_object =  1064, predicted_class =   4, true_class =   4, nn =  2464, distance =    1.27, accuracy = 1.00
test_object =  1065, predicted_class =   0, true_class =   0, nn =  2335, distance =    0.85, accuracy = 1.00
test_object =  1066, predicted_class =   0, true_class =   0, nn =  2286, distance =    1.00, accuracy = 1.00
test_object =  1067, predicted_class =   0, true_class =   0, nn =  2335, distance =    1.13, accuracy = 1.00
test_object =  1068, predicted_class =   0, true_class =   0, nn =  2339, distance =    1.41, accuracy = 1.00
test_object =  1069, predicted_class =   6, true_class =   6, nn =  2390, distance =    0.88, accuracy = 1.00
test_object =  1070, predicted_class =   6, true_class =   6, nn =  2084, distance =    0.88, accuracy = 1.00
test_object =  1071, predicted_class =   3, true_class =   3, nn =  2582, distance =    0.93, accuracy = 1.00
test_object =  1072, predicted_class =   3, true_class =   3, nn =  2250, distance =    1.14, accuracy = 1.00
test_object =  1073, predicted_class =   6, true_class =   6, nn =  2216, distance =    1.06, accuracy = 1.00
test_object =  1074, predicted_class =   2, true_class =   3, nn =  4134, distance =    1.28, accuracy = 0.00
test_object =  1075, predicted_class =   3, true_class =   3, nn =  2261, distance =    1.04, accuracy = 1.00
test_object =  1076, predicted_class =   6, true_class =   4, nn =  1145, distance =    1.68, accuracy = 0.00
test_object =  1077, predicted_class =   6, true_class =   6, nn =  2312, distance =    1.68, accuracy = 1.00
test_object =  1078, predicted_class =   6, true_class =   6, nn =  2694, distance =    1.28, accuracy = 1.00
test_object =  1079, predicted_class =   6, true_class =   6, nn =  2454, distance =    0.97, accuracy = 1.00
test_object =  1080, predicted_class =   2, true_class =   2, nn =  2508, distance =    1.04, accuracy = 1.00
test_object =  1081, predicted_class =   4, true_class =   4, nn =  2464, distance =    0.83, accuracy = 1.00
test_object =  1082, predicted_class =   4, true_class =   4, nn =  2464, distance =    1.01, accuracy = 1.00
test_object =  1083, predicted_class =   4, true_class =   4, nn =  1447, distance =    1.16, accuracy = 1.00
test_object =  1084, predicted_class =   0, true_class =   0, nn =  3318, distance =    0.99, accuracy = 1.00
test_object =  1085, predicted_class =   0, true_class =   0, nn =  2380, distance =    1.09, accuracy = 1.00
test_object =  1086, predicted_class =   0, true_class =   0, nn =  2429, distance =    0.95, accuracy = 1.00
test_object =  1087, predicted_class =   0, true_class =   0, nn =  2335, distance =    1.11, accuracy = 1.00
test_object =  1088, predicted_class =   0, true_class =   0, nn =  2714, distance =    1.26, accuracy = 1.00
test_object =  1089, predicted_class =   0, true_class =   0, nn =  2145, distance =    1.48, accuracy = 1.00
test_object =  1090, predicted_class =   6, true_class =   6, nn =  2352, distance =    1.06, accuracy = 1.00
test_object =  1091, predicted_class =   6, true_class =   6, nn =  2437, distance =    0.87, accuracy = 1.00
test_object =  1092, predicted_class =   6, true_class =   6, nn =  1941, distance =    1.14, accuracy = 1.00
test_object =  1093, predicted_class =   3, true_class =   3, nn =  2582, distance =    0.73, accuracy = 1.00
test_object =  1094, predicted_class =   3, true_class =   3, nn =   129, distance =    0.91, accuracy = 1.00
test_object =  1095, predicted_class =   6, true_class =   6, nn =  2844, distance =    1.09, accuracy = 1.00
test_object =  1096, predicted_class =   6, true_class =   6, nn =  2070, distance =    1.13, accuracy = 1.00
test_object =  1097, predicted_class =   6, true_class =   3, nn =  2746, distance =    1.31, accuracy = 0.00
test_object =  1098, predicted_class =   6, true_class =   4, nn =  3377, distance =    1.66, accuracy = 0.00
test_object =  1099, predicted_class =   6, true_class =   4, nn =   922, distance =    1.91, accuracy = 0.00
test_object =  1100, predicted_class =   6, true_class =   4, nn =   922, distance =    2.07, accuracy = 0.00
test_object =  1101, predicted_class =   6, true_class =   6, nn =  2849, distance =    1.58, accuracy = 1.00
test_object =  1102, predicted_class =   3, true_class =   6, nn =  2730, distance =    1.36, accuracy = 0.00
test_object =  1103, predicted_class =   6, true_class =   6, nn =  1897, distance =    1.37, accuracy = 1.00
test_object =  1104, predicted_class =   6, true_class =   6, nn =  2411, distance =    1.23, accuracy = 1.00
test_object =  1105, predicted_class =   3, true_class =   6, nn =  2846, distance =    1.29, accuracy = 0.00
test_object =  1106, predicted_class =   2, true_class =   2, nn =  2508, distance =    0.92, accuracy = 1.00
test_object =  1107, predicted_class =   6, true_class =   2, nn =  2415, distance =    2.18, accuracy = 0.00
test_object =  1108, predicted_class =   4, true_class =   4, nn =  2460, distance =    1.62, accuracy = 1.00
test_object =  1109, predicted_class =   4, true_class =   4, nn =  2463, distance =    1.15, accuracy = 1.00
test_object =  1110, predicted_class =   4, true_class =   4, nn =  2464, distance =    0.83, accuracy = 1.00
test_object =  1111, predicted_class =   0, true_class =   0, nn =  2424, distance =    1.34, accuracy = 1.00
test_object =  1112, predicted_class =   0, true_class =   0, nn =  2777, distance =    1.09, accuracy = 1.00
test_object =  1113, predicted_class =   0, true_class =   0, nn =  2473, distance =    0.86, accuracy = 1.00
test_object =  1114, predicted_class =   0, true_class =   0, nn =  2474, distance =    1.00, accuracy = 1.00
test_object =  1115, predicted_class =   6, true_class =   6, nn =  2484, distance =    0.72, accuracy = 1.00
test_object =  1116, predicted_class =   6, true_class =   6, nn =  2126, distance =    0.88, accuracy = 1.00
test_object =  1117, predicted_class =   3, true_class =   3, nn =   200, distance =    0.89, accuracy = 1.00
test_object =  1118, predicted_class =   3, true_class =   3, nn =  2990, distance =    0.86, accuracy = 1.00
test_object =  1119, predicted_class =   6, true_class =   6, nn =  2070, distance =    1.09, accuracy = 1.00
test_object =  1120, predicted_class =   6, true_class =   6, nn =  2542, distance =    1.13, accuracy = 1.00
test_object =  1121, predicted_class =   6, true_class =   6, nn =  2793, distance =    1.05, accuracy = 1.00
test_object =  1122, predicted_class =   2, true_class =   3, nn =   169, distance =    1.03, accuracy = 0.00
test_object =  1123, predicted_class =   6, true_class =   6, nn =  2504, distance =    1.23, accuracy = 1.00
test_object =  1124, predicted_class =   6, true_class =   6, nn =  2504, distance =    1.53, accuracy = 1.00
test_object =  1125, predicted_class =   6, true_class =   6, nn =  2745, distance =    1.36, accuracy = 1.00
test_object =  1126, predicted_class =   4, true_class =   4, nn =  2558, distance =    2.50, accuracy = 1.00
test_object =  1127, predicted_class =   4, true_class =   4, nn =  2559, distance =    1.93, accuracy = 1.00
test_object =  1128, predicted_class =   4, true_class =   4, nn =  2422, distance =    1.06, accuracy = 1.00
test_object =  1129, predicted_class =   4, true_class =   4, nn =  2518, distance =    1.07, accuracy = 1.00
test_object =  1130, predicted_class =   0, true_class =   0, nn =  3278, distance =    0.94, accuracy = 1.00
test_object =  1131, predicted_class =   0, true_class =   0, nn =  2475, distance =    1.10, accuracy = 1.00
test_object =  1132, predicted_class =   0, true_class =   0, nn =  2531, distance =    1.07, accuracy = 1.00
test_object =  1133, predicted_class =   0, true_class =   0, nn =  3622, distance =    1.05, accuracy = 1.00
test_object =  1134, predicted_class =   6, true_class =   6, nn =  2390, distance =    1.20, accuracy = 1.00
test_object =  1135, predicted_class =   6, true_class =   6, nn =  1605, distance =    0.96, accuracy = 1.00
test_object =  1136, predicted_class =   6, true_class =   6, nn =  2038, distance =    0.94, accuracy = 1.00
test_object =  1137, predicted_class =   6, true_class =   6, nn =  2580, distance =    0.98, accuracy = 1.00
test_object =  1138, predicted_class =   3, true_class =   3, nn =  2249, distance =    1.01, accuracy = 1.00
test_object =  1139, predicted_class =   3, true_class =   3, nn =  2582, distance =    0.86, accuracy = 1.00
test_object =  1140, predicted_class =   3, true_class =   3, nn =  2583, distance =    0.86, accuracy = 1.00
test_object =  1141, predicted_class =   3, true_class =   3, nn =  2584, distance =    0.86, accuracy = 1.00
test_object =  1142, predicted_class =   6, true_class =   6, nn =  2251, distance =    1.06, accuracy = 1.00
test_object =  1143, predicted_class =   6, true_class =   6, nn =  2124, distance =    1.09, accuracy = 1.00
test_object =  1144, predicted_class =   3, true_class =   3, nn =  2495, distance =    1.38, accuracy = 1.00
test_object =  1145, predicted_class =   3, true_class =   3, nn =  2355, distance =    1.05, accuracy = 1.00
test_object =  1146, predicted_class =   4, true_class =   4, nn =  2586, distance =    1.33, accuracy = 1.00
test_object =  1147, predicted_class =   4, true_class =   4, nn =  2692, distance =    1.53, accuracy = 1.00
test_object =  1148, predicted_class =   6, true_class =   6, nn =  2589, distance =    1.10, accuracy = 1.00
test_object =  1149, predicted_class =   6, true_class =   6, nn =  2550, distance =    1.19, accuracy = 1.00
test_object =  1150, predicted_class =   6, true_class =   6, nn =  2550, distance =    1.20, accuracy = 1.00
test_object =  1151, predicted_class =   4, true_class =   4, nn =  2563, distance =    1.15, accuracy = 1.00
test_object =  1152, predicted_class =   4, true_class =   4, nn =  2565, distance =    1.10, accuracy = 1.00
test_object =  1153, predicted_class =   4, true_class =   4, nn =  2565, distance =    1.35, accuracy = 1.00
test_object =  1154, predicted_class =   4, true_class =   4, nn =  2375, distance =    1.27, accuracy = 1.00
test_object =  1155, predicted_class =   0, true_class =   0, nn =  2658, distance =    1.82, accuracy = 1.00
test_object =  1156, predicted_class =   0, true_class =   0, nn =  2660, distance =    1.38, accuracy = 1.00
test_object =  1157, predicted_class =   0, true_class =   0, nn =  2669, distance =    0.84, accuracy = 1.00
test_object =  1158, predicted_class =   0, true_class =   0, nn =  2285, distance =    0.88, accuracy = 1.00
test_object =  1159, predicted_class =   0, true_class =   0, nn =  2286, distance =    0.68, accuracy = 1.00
test_object =  1160, predicted_class =   0, true_class =   0, nn =  2531, distance =    1.06, accuracy = 1.00
test_object =  1161, predicted_class =   0, true_class =   0, nn =  2380, distance =    1.01, accuracy = 1.00
test_object =  1162, predicted_class =   0, true_class =   0, nn =  2531, distance =    1.06, accuracy = 1.00
test_object =  1163, predicted_class =   6, true_class =   6, nn =  2340, distance =    1.25, accuracy = 1.00
test_object =  1164, predicted_class =   6, true_class =   6, nn =  2534, distance =    0.91, accuracy = 1.00
test_object =  1165, predicted_class =   3, true_class =   3, nn =  3035, distance =    0.81, accuracy = 1.00
test_object =  1166, predicted_class =   3, true_class =   3, nn =  2627, distance =    0.86, accuracy = 1.00
test_object =  1167, predicted_class =   3, true_class =   3, nn =  2539, distance =    1.07, accuracy = 1.00
test_object =  1168, predicted_class =   6, true_class =   6, nn =  2734, distance =    1.00, accuracy = 1.00
test_object =  1169, predicted_class =   6, true_class =   6, nn =  2792, distance =    1.08, accuracy = 1.00
test_object =  1170, predicted_class =   3, true_class =   3, nn =  2494, distance =    1.66, accuracy = 1.00
test_object =  1171, predicted_class =   3, true_class =   4, nn =  2545, distance =    1.24, accuracy = 0.00
test_object =  1172, predicted_class =   4, true_class =   4, nn =  2638, distance =    1.23, accuracy = 1.00
test_object =  1173, predicted_class =   4, true_class =   4, nn =  2692, distance =    1.32, accuracy = 1.00
test_object =  1174, predicted_class =   3, true_class =   6, nn =  1107, distance =    1.04, accuracy = 0.00
test_object =  1175, predicted_class =   6, true_class =   6, nn =  2592, distance =    1.08, accuracy = 1.00
test_object =  1176, predicted_class =   6, true_class =   2, nn =  2593, distance =    1.26, accuracy = 0.00
test_object =  1177, predicted_class =   2, true_class =   6, nn =  1286, distance =    1.11, accuracy = 0.00
test_object =  1178, predicted_class =   2, true_class =   2, nn =  2554, distance =    1.04, accuracy = 1.00
test_object =  1179, predicted_class =   2, true_class =   2, nn =  2555, distance =    0.99, accuracy = 1.00
test_object =  1180, predicted_class =   2, true_class =   2, nn =  2556, distance =    1.16, accuracy = 1.00
test_object =  1181, predicted_class =   4, true_class =   4, nn =  2652, distance =    1.16, accuracy = 1.00
test_object =  1182, predicted_class =   4, true_class =   4, nn =  2602, distance =    1.37, accuracy = 1.00
test_object =  1183, predicted_class =   4, true_class =   4, nn =  2657, distance =    1.29, accuracy = 1.00
test_object =  1184, predicted_class =   0, true_class =   0, nn =  2659, distance =    1.51, accuracy = 1.00
test_object =  1185, predicted_class =   0, true_class =   0, nn =  2526, distance =    1.19, accuracy = 1.00
test_object =  1186, predicted_class =   0, true_class =   0, nn =  2606, distance =    0.81, accuracy = 1.00
test_object =  1187, predicted_class =   0, true_class =   0, nn =  2531, distance =    0.89, accuracy = 1.00
test_object =  1188, predicted_class =   0, true_class =   0, nn =  3226, distance =    1.25, accuracy = 1.00
test_object =  1189, predicted_class =   6, true_class =   6, nn =  2340, distance =    1.09, accuracy = 1.00
test_object =  1190, predicted_class =   6, true_class =   6, nn =  2621, distance =    0.90, accuracy = 1.00
test_object =  1191, predicted_class =   3, true_class =   3, nn =  3035, distance =    0.93, accuracy = 1.00
test_object =  1192, predicted_class =   3, true_class =   3, nn =  2582, distance =    0.93, accuracy = 1.00
test_object =  1193, predicted_class =   3, true_class =   3, nn =  2944, distance =    1.18, accuracy = 1.00
test_object =  1194, predicted_class =   6, true_class =   6, nn =  2685, distance =    1.03, accuracy = 1.00
test_object =  1195, predicted_class =   6, true_class =   6, nn =  2792, distance =    0.95, accuracy = 1.00
test_object =  1196, predicted_class =   4, true_class =   4, nn =  2586, distance =    1.65, accuracy = 1.00
test_object =  1197, predicted_class =   6, true_class =   4, nn =  2589, distance =    1.10, accuracy = 0.00
test_object =  1198, predicted_class =   6, true_class =   6, nn =  2590, distance =    0.90, accuracy = 1.00
test_object =  1199, predicted_class =   2, true_class =   2, nn =  2645, distance =    1.07, accuracy = 1.00
test_object =  1200, predicted_class =   2, true_class =   2, nn =  2696, distance =    1.26, accuracy = 1.00
test_object =  1201, predicted_class =   4, true_class =   4, nn =  2655, distance =    1.22, accuracy = 1.00
test_object =  1202, predicted_class =   4, true_class =   4, nn =  2656, distance =    1.03, accuracy = 1.00
test_object =  1203, predicted_class =   4, true_class =   4, nn =  2603, distance =    1.32, accuracy = 1.00
test_object =  1204, predicted_class =   0, true_class =   0, nn =  3278, distance =    1.01, accuracy = 1.00
test_object =  1205, predicted_class =   0, true_class =   0, nn =  2663, distance =    0.83, accuracy = 1.00
test_object =  1206, predicted_class =   0, true_class =   0, nn =  2285, distance =    1.02, accuracy = 1.00
test_object =  1207, predicted_class =   0, true_class =   0, nn =  2335, distance =    1.07, accuracy = 1.00
test_object =  1208, predicted_class =   0, true_class =   0, nn =  2611, distance =    0.99, accuracy = 1.00
test_object =  1209, predicted_class =   0, true_class =   0, nn =  2611, distance =    0.98, accuracy = 1.00
test_object =  1210, predicted_class =   0, true_class =   0, nn =  2531, distance =    1.04, accuracy = 1.00
test_object =  1211, predicted_class =   6, true_class =   6, nn =  2781, distance =    0.88, accuracy = 1.00
test_object =  1212, predicted_class =   3, true_class =   3, nn =  2201, distance =    0.87, accuracy = 1.00
test_object =  1213, predicted_class =   3, true_class =   3, nn =  2990, distance =    1.00, accuracy = 1.00
test_object =  1214, predicted_class =   6, true_class =   6, nn =  2736, distance =    1.16, accuracy = 1.00
test_object =  1215, predicted_class =   4, true_class =   4, nn =  2741, distance =    1.46, accuracy = 1.00
test_object =  1216, predicted_class =   4, true_class =   4, nn =  2636, distance =    1.58, accuracy = 1.00
test_object =  1217, predicted_class =   6, true_class =   4, nn =  2589, distance =    1.25, accuracy = 0.00
test_object =  1218, predicted_class =   6, true_class =   6, nn =  2590, distance =    1.08, accuracy = 1.00
test_object =  1219, predicted_class =   6, true_class =   6, nn =  1202, distance =    1.09, accuracy = 1.00
test_object =  1220, predicted_class =   2, true_class =   6, nn =  2507, distance =    1.04, accuracy = 0.00
test_object =  1221, predicted_class =   2, true_class =   2, nn =  3244, distance =    1.29, accuracy = 1.00
test_object =  1222, predicted_class =   2, true_class =   2, nn =  2748, distance =    1.02, accuracy = 1.00
test_object =  1223, predicted_class =   4, true_class =   4, nn =  2648, distance =    1.17, accuracy = 1.00
test_object =  1224, predicted_class =   4, true_class =   4, nn =  2652, distance =    1.11, accuracy = 1.00
test_object =  1225, predicted_class =   4, true_class =   4, nn =  2700, distance =    1.13, accuracy = 1.00
test_object =  1226, predicted_class =   4, true_class =   4, nn =  2707, distance =    1.09, accuracy = 1.00
test_object =  1227, predicted_class =   4, true_class =   4, nn =  2466, distance =    1.71, accuracy = 1.00
test_object =  1228, predicted_class =   0, true_class =   0, nn =  2658, distance =    1.82, accuracy = 1.00
test_object =  1229, predicted_class =   0, true_class =   0, nn =  2424, distance =    1.59, accuracy = 1.00
test_object =  1230, predicted_class =   0, true_class =   0, nn =  2425, distance =    1.15, accuracy = 1.00
